Sentence,Errors
I wonder you ate how much.,[]
"He gets angry, the longer John has to wait.",[]
He gets angry if John has to wait.,[]
"The more pictures of himself appear in the news, the more likely John is to get arrested.",[]
"The more that pictures of himself appear in the news, the more likely John is to get arrested.",[]
"The more that John gets upset by them, the more that stories about himself seem to show up in the news.",[]
"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.","[{'ruleId': 'ON_IN_THE_AFTERNOON', 'message': 'The usual preposition for “evening” is “in”, not “on”. Try it like this: “in the evening”.', 'suggestions': ['in the evening']}]"
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",[]
You give every senator enough opportunity and he will succumb to corruption.,"[{'ruleId': 'COMMA_COMPOUND_SENTENCE', 'message': 'Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).', 'suggestions': [', and']}]"
"We gave any senator enough opportunity and, sure enough, he succumbed to corruption.",[]
"We gave every senator enough opportunity and, sure enough, he succumbed to corruption.",[]
"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.",[]
"He seems to become more corrupt, the more lobbyists any senator talks to.",[]
"He seems to become more corrupt, the more lobbyists every senator talks to.",[]
"He seems to become more corrupt, if any senator talks to more lobbyists.",[]
"He seems to become more corrupt, if every senator talks to more lobbyists.",[]
"He seems to become more corrupt, as every senator talks to more lobbyists.",[]
"He seems to become more corrupt, as any senator talks to more lobbyists.",[]
"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",[]
"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?",[]
"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?",[]
"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?",[]
"The harder it rains, the faster who runs?",[]
"The louder who talks, the angrier you get?",[]
"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.",[]
"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",[]
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,[]
This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,"[{'ruleId': 'COMMA_COMPOUND_SENTENCE', 'message': 'Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).', 'suggestions': [', and']}]"
Those are the folks that you just solve this problem and you'll be able to put them on ice.,"[{'ruleId': 'COMMA_COMPOUND_SENTENCE', 'message': 'Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).', 'suggestions': [', and']}]"
"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.",[]
"This is the problem that you'll beat the competition more easily, the sooner you solve.",[]
He hit the ball.,[]
She hit the ball.,[]
Am not I going?,"[{'ruleId': 'SENT_START_ARE_NOT_ARENT_FORMAL', 'message': 'Questions beginning with ‘Am not’ can sound very formal.', 'suggestions': [""Aren't""]}, {'ruleId': 'PRP_VBG', 'message': ""An auxiliary verb seems to be missing from this progressive structure. Did you mean “I'm going”, “I am going”, or “I was going”?"", 'suggestions': [""I'm going"", 'I am going', 'I was going']}]"
I aren't going.,"[{'ruleId': 'PERS_PRONOUN_AGREEMENT', 'message': 'Did you mean “am” or “ate”?', 'suggestions': ['am', 'ate']}]"
Marianne not left.,[]
Marianne left not.,[]
Can he not have been working?,[]
John write books.,[]
John wrote books.,[]
John seems that is nice.,[]
John kisses often Mary.,[]
Who did you ask whether Mary knows why John likes?,[]
How do you wonder whether Mary solved the problem?,[]
How do you wonder whether John said that Mary solved the problem?,[]
How do you wonder whether John said Mary solved the problem?,[]
Which problem do you wonder whether John said that Mary solved?,[]
Mary thinks that John said that Susan likes pictures of himself?,[]
You will Bob believe.,[]
How do you wonder who could solve this problem.,[]
The fact that no candidate was elected shows that he was inadequate.,[]
He sees often Mary.,"[{'ruleId': 'ADVERB_WORD_ORDER', 'message': 'The adverb ‘often’ is usually put before the verb ‘sees’.', 'suggestions': ['often sees']}]"
Sees he I often Mary?,[]
John seems that it is likely to win.,[]
John seems will win.,[]
How do you wonder which problem to solve?,[]
How many people do you wonder whether I consider intelligent?,[]
How intelligent do you wonder whether I consider John?,[]
What the hell do you wonder how to say?,[]
A man to be in the garden is unlikely.,[]
A man to come is unlikely.,[]
John to call would be unlikely.,[]
This conclusion to be arrived at is surprising.,[]
John believes that him is sick.,[]
John tries him to win.,[]
John wonders where him to go.,[]
Who do you think that believes John to be innocent?,[]
Who would you prefer for to win the race?,[]
The children eat all chocolate.,[]
It's probable in general that he understands what's going on.,[]
In general that he understands what's going on is surprising.,[]
I explained to fix the sink.,[]
Mickey teamed with the women up.,[]
Mickey pointed that Gary had left out.,[]
Mickey slips all the time up.,[]
John thinks what Mary bought.,[]
What does John wonder Mary bought?,[]
Who is he reading a book that criticizes?,[]
What do you remember where we bought?,[]
I wonder who what bought?,[]
I wonder what who bought?,[]
The boat sank to collect the insurance.,[]
Headway was unmade.,[]
John was unknown to be the murderer.,[]
Did he try ever to talk to the student?,[]
There is too likely to be a riot to be a serious discussion of the issues.,[]
"Bill seems to be obnoxious, but I don't think that Sam happens.",[]
"Bill seems to be obnoxious, but I don't think that Sam turns out.",[]
"Bill seems to be obnoxious, but I don't think that Sam tends.",[]
They tried all to like John.,[]
John is wanted to win.,[]
John would be liked to win.,[]
John would be hated to win.,[]
John would be preferred to be the candidate.,[]
The house destroyed John.,[]
The electrode was left by ions.,[]
The box gradually contained the ball.,[]
The box at once contained the ball.,[]
The box contained the ball to the ground.,[]
Fruit hit the roof against the ground.,[]
Fruit at once hit the roof against the ground.,[]
Fruit dropped from the tree from the clouds.,[]
Fruit fell against the house.,[]
Fruit fell against the house against the ground.,[]
The maple changed into an oak from a cedar.,[]
The farm finally reached John after much litigation.,[]
Water emptied the cup.,[]
The cup filled the water high.,[]
The cup filled of water.,[]
The cup emptied with water.,[]
the road blocked with a stone.,"[{'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'This sentence does not start with an uppercase letter.', 'suggestions': ['The']}]"
the branch dropped bare of its apple.,"[{'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'This sentence does not start with an uppercase letter.', 'suggestions': ['The']}]"
the logs piled the barge high.,"[{'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'This sentence does not start with an uppercase letter.', 'suggestions': ['The']}]"
the bottle drained the liquid free.,"[{'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'This sentence does not start with an uppercase letter.', 'suggestions': ['The']}]"
The tree broke off some branches.,[]
The kettle bubbled water up.,[]
The cup filled water.,[]
The stone knocked the pole into the road.,[]
The stone knocked against the pole into the road.,[]
The window broke from hail stones.,[]
John fed the baby rice up.,[]
Spray the wall with all the paint.,[]
What the stone did to the wall was hit it.,[]
What the stone did to the whole wall was hit it.,[]
John concluded Bill to be a fool.,[]
Give the bottle to the baby awake.,[]
Give the baby the bottle awake.,[]
Rub the cloth on the baby asleep.,[]
Rub the baby with the cloth asleep.,[]
Dry the baby with the cloth torn.,[]
The cup knocked the stone apart.,[]
John gave Bill of the book.,[]
John perfectly learned French.,[]
Bill poorly recited his lines.,[]
John perfectly learned French immediately.,[]
John learned French immediately perfectly.,[]
"Clearly, John immediately will probably learn French perfectly.",[]
"Immediately, John probably will clearly learn French perfectly.",[]
"Clearly, John perfectly will immediately learn French probably.","[{'ruleId': 'FINAL_ADVERB_COMMA', 'message': 'Consider inserting a comma before ‘probably’.', 'suggestions': [', probably']}]"
John perfectly rolled the ball down the hill.,[]
John perfectly shot the ball.,[]
John intimately spoke to Mary.,[]
John spoke intimately French to Mary.,[]
John spoke to Mary French.,[]
Mary persuaded to leave John.,[]
The lions ate raw the meat.,[]
Mary persuaded that he should rest Bill.,[]
I saw the men all.,[]
The men were arrested all.,[]
The men arrived all.,[]
Bill proud of himself John doesn't consider.,[]
Home was gone by John.,[]
The room was left angry by Mary.,[]
The room was left angry.,[]
Bill is resembled by John.,[]
10 lb was weighed by the package.,[]
$10 was cost by this book.,[]
John was cost $10 by the book.,[]
John is impressed by Bill as pompous.,[]
The boys were made a good mother.,[]
The boys were made a good mother by Aunt Mary.,[]
The kids were failed by Max as a father.,[]
The kids were failed as a father.,[]
The men were struck by the idea as nonsense.,[]
The men were promised to leave.,[]
He impresses his friends all as pompous.,[]
Aunt Mary made the boys all a good mother.,[]
Max failed the kids all as a father.,[]
Frank promised the men all to leave.,[]
We proclaimed to the public John to be a hero.,[]
We proclaimed sincerely John to be a hero.,[]
We proclaimed sincerely to the public John to be a hero.,[]
They represented to the dean Mary as a genuine linguist.,[]
They represented seriously Mary as a genuine linguist.,[]
We proved to the authorities Smith to be the thief.,[]
We proved conclusively Smith to be the thief.,[]
We proved conclusively to the authorities Smith to be the thief.,[]
The lions ate at the meat raw.,[]
We love they.,"[{'ruleId': 'THEY_THEM', 'message': 'Did you mean “them”?', 'suggestions': ['them']}]"
We love their.,[]
Us love their.,[]
he belief that Mary kissed Bill is mistaken.,"[{'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'This sentence does not start with an uppercase letter.', 'suggestions': ['He']}, {'ruleId': 'BELIEF_BELIEVE', 'message': 'Did you mean “believe” (verb) instead of belief (noun)?', 'suggestions': ['believe']}]"
him belief that Mary kissed Bill is mistaken.,"[{'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'This sentence does not start with an uppercase letter.', 'suggestions': ['Him']}]"
Mary is fond him.,[]
Mary's criticism him was cruel.,[]
John to love Mary would be doubtful.,[]
Mary considered to have loved her.,[]
Mary tried John to go abroad.,[]
Mary managed John to go abroad.,[]
Mary desired John to go abroad.,[]
Mary believed he to have loved her.,[]
Mary considered he to have loved her.,[]
Mary reported he to have loved her.,[]
Mary believed his to have loved her.,[]
Mary considered his to have loved her.,[]
Mary reported his to have loved her.,[]
There is strangers in that garden.,"[{'ruleId': 'THERE_S_MANY', 'message': 'Did you mean “There are strangers”?', 'suggestions': ['There are strangers']}]"
There is arriving three men at that station.,[]
I consider there a man in that garden.,[]
They alleged many strangers to have been in that garden.,[]
John wagered a stranger to have been in that haunted house.,[]
I enjoy him taking a bath.,[]
I detest him taking a bath.,[]
I noticed kissing Mary.,[]
There was known to everyone.,[]
John wanted to leave the room happy and leave the room he did happy.,[]
I raw eat fish drunk.,"[{'ruleId': 'PRP_JJ', 'message': 'A verb or adverb may be missing or misspelled.', 'suggestions': []}]"
I only eat fish drunk raw.,[]
"Sally started running down the street, but only after José started.",[]
"Sally made Bill laugh, and then José made.",[]
"Mary came to read Fred's story, and I also came to.",[]
"Mary was told to bring something to the party, so she asked Sue what to.",[]
We might go on vacation if we can ever figure out when to.,[]
"Ron wanted to wear a tuxedo to the party, but Caspar couldn't decide whether to.",[]
You shouldn't play with rifles because to is dangerous.,[]
John is being discussed and Sally is being too.,[]
"I remember John being discussed, but you recall Sally being.",[]
"It's we go to the meeting, that Sally will tell us when.",[]
"Mary claimed that would eat cabbage, Holly.",[]
"Mary claimed that hasn't eaten cabbage, Holly.",[]
"Mary claimed that eating cabbage, Holly started.",[]
"Mary claimed that eat cabbage, Holly made me.",[]
"Mary claimed that have eaten cabbage, Holly should.",[]
"Mary claimed that intelligent, I consider Holly not.",[]
Lilly recounted a story to remember because Holly had also recounted a story to.,[]
I reviewed Joe's attempt to find Holly while you reviewed José's attempt to.,[]
"Mary questioned Joe's desire to eat cabbage, but only after I had questioned Sally's desire to.",[]
"Sally explained the attempt to arrest Holly, but only after I had denied the decision to.",[]
You shouldn't have played with rifles because to have is dangerous.,[]
"Ron wanted to be wearing a tuxedo to the party, but Caspar didn't know whether to be.",[]
Lilly recounted a story to be remembered because Holly had recounted a story to be.,[]
"Lilly decided eating cabbage, to be.",[]
You shouldn't play with rifles because play with rifles to is dangerous.,[]
"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to.",[]
Lucy Barnes recounted a story to remember because remember Holly had recounted a story to.,[]
"I will, if I can work on it.",[]
A proof that God exist does.,[]
A proof that God does exists.,[]
I visited every town in every country I had to.,[]
"My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red.","[{'ruleId': 'COMMA_COMPOUND_SENTENCE', 'message': 'Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).', 'suggestions': [', and']}]"
"I know which book Mag read, and which book Bob asked why you hadn't.",[]
"I know which book Mag read, and which book Bob discussed after I had.",[]
"Although Mag doesn't eggplants, Sally eats cabbage.",[]
"Although I don't know which book Sam did, I do know which book Sally read.",[]
"Near everyone Angleton did, Dulles stood.",[]
"Sally will stand near Mag, but he won't Holly.",[]
"While Holly didn't discuss a report about every boy, she did every girl.",[]
Sam stood near yesterday every one of the women we'd been discussing.,[]
Truman visited yesterday you.,[]
Truman told the story Bob.,[]
"While Rusty might leave in order to please Mag, he won't his father.",[]
"While Doc might claim that Bob had read his book, he won't the paper.",[]
"I'll turn the radio down, but I won't up.",[]
"I know which book Max read, and which book Oscar hasn't done so.",[]
Rusty talked about himself only after Mary did talk about himself.,[]
"David is a great artist, and when he does, his eyes squint at you.",[]
"The candidate was dogged by charges of infidelity, or at least trying to.",[]
John likes not Mary.,[]
John meets often Mary.,"[{'ruleId': 'ADVERB_WORD_ORDER', 'message': 'The adverb ‘often’ is usually put before the verb ‘meets’.', 'suggestions': ['often meets']}]"
John tries to meet often Mary.,[]
John tries to meet not Mary.,[]
Runs Mary the marathon?,[]
Mary runs often the marathon.,"[{'ruleId': 'ADVERB_WORD_ORDER', 'message': 'The adverb ‘often’ is usually put before the verb ‘runs’.', 'suggestions': ['often runs']}]"
"I did not, as Bill had thought, go to the store.",[]
The writers so believed the boy.,[]
The writers didn't so believe the boy.,[]
The problem's perception is quite thorough.,[]
The problem's knowledge is quite thorough.,[]
The problem knows easily.,[]
The ship sank to collect the insurance.,[]
The ship's sinking to collect the insurance was very devious.,[]
This drug's testing on oneself is too risky.,[]
Rich we have impeccable taste.,[]
I read three his books.,[]
I read every his book.,"[{'ruleId': 'A_MY', 'message': 'A determiner cannot be combined with a possessive pronoun. Did you mean simply “every” or “his”?', 'suggestions': ['every', 'his']}]"
That few boys came upset any of the teachers.,[]
Guinevere has a single bone that is in every corner of the house.,[]
What does who admire?,[]
You filed every paper without inspecting.,[]
Every man surrounded the fort.,[]
Every man lifted the table together.,[]
We voted for me.,[]
Old pictures of themselves convinced the children to pretend to be adults.,[]
Each other's houses proved to the women that they had bad taste.,[]
These stories about himself describe John better than any official biography.,[]
The cat that the dog that the rat bit chased died.,[]
Jean reads never this newspaper.,"[{'ruleId': 'ADVERB_WORD_ORDER', 'message': 'The adverb ‘never’ is usually put before the verb ‘reads’.', 'suggestions': ['never reads']}]"
What did Bill buy potatoes and?,[]
"What dl,d John fall asleep and Bill wear?","[{'ruleId': 'NON_STANDARD_WORD', 'message': ""The word ‘dl,d’ is not standard English. Did you mean “dl’d” (curly apostrophe) or “dl'd” (straight apostrophe)?"", 'suggestions': ['dl’d', ""dl'd""]}]"
Here is the snowball which I chased the boy who threw at our teacher.,[]
Where's the bikini which Tom mentioned the fact that Sue had worn?,[]
Who did he expect who I was acquainted with to show up?,[]
What table will he put the chair between some table and?,[]
What table will he put the chair between and some sofa?,[]
I ran a man who was old down.,[]
I'm going to call somebody who is.,[]
I polished the vase which was from India up.,[]
He attributed to a short circuit the fire.,[]
He threw into the wastebasket the letter.,[]
They dismissed as to costly the proposal.,[]
I consider to be a fool the senator who made the opening speech.,[]
Did that John showed up please you?,[]
That that John showed up pleased her was obvious.,[]
What what I ate cost almost broke me.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['What']}]"
I went out with a girl who that John showed up pleased.,[]
I loaned my binoculars a man who was watching the race.,[]
"We called my father, who had just turned 60, up.",[]
"We elected my father, who had just turned 60, president.",[]
"They gave my father, who had just turned 60, it.",[]
He figured out it.,[]
He figured out that.,[]
He figured out Ann.,[]
I sent him it.,[]
We elected the man who he had brought with him president.,"[{'ruleId': 'POSSESSIVE_CASE', 'message': 'The possessive form of the pronoun may be required here.', 'suggestions': ['with my', 'with her', 'with his', 'with our', 'with their']}]"
He kept company some girls who had been injured in the wreck.,[]
He kept some girls who had been injured in the wreck company.,[]
I insist on seeing through all the students who had started out the term in my class.,[]
I insist in seeing all the students who started out the term in my class through.,[]
The doctor brought to the passengers who had passed cut from the fumes.,[]
He tries to put on everyone who he doesn't like.,[]
He tries to put everyone who he doesn't like on.,[]
I watched the Indians who the man who had been my advisor in my freshman year had advised me to study when I got to Utah talk.,[]
I know a man who Tom drives as does.,[]
I know a man who John is taller than is.,"[{'ruleId': 'IS_US', 'message': 'Did you mean “us”?', 'suggestions': ['us']}]"
I know a man who John is as tall as is.,[]
Mary has never kissed a man taller than John is.,[]
Mary has never kissed as tall a man as John is.,[]
The man who I read a statement which was about is sick.,[]
I read that Bill had seen myself.,[]
Who does Phineas know a girl who is jealous of?.,[]
Who does Phineas know a girl who is behind?,[]
Who does Phineas know a girl who is working with?,[]
Who does Phineas know a girl jealous of?,[]
Who does Phineas know a girl behind?,[]
Who does Phineas know a girl working with?,[]
The hat which I believed the claim that Otto was wearing is red.,[]
Rutherford is understood. by himself.,"[{'ruleId': 'UPPERCASE_SENTENCE_START', 'message': 'This sentence does not start with an uppercase letter.', 'suggestions': ['By']}]"
The pudding which the man who ordered it said would be tasty was a horror show.,[]
"The money which I am discussing the claim that the company squandered amounts to $400,000.",[]
"The money which I am discussing Sarah's claim that the company squandered amounts to $400,000.",[]
I made a proposal we squander the money.,[]
Myron is making Suzie's claim that dead is better than red.,[]
I have Tom's feeling that the company will squander the money.,[]
Myra took Betty's snooze.,[]
Bill made Sarah's gal to me of $40.,[]
Max gave the car Levi's shove.,[]
The claim you won't need it is being made by Jack.,[]
He said that himself was hungry.,[]
I know a man who hates myself.,[]
I read him Judy's statement about himself.,[]
I know two men behind myself.,[]
What sofa will he put the chair between some table and?,[]
What table will he put the chair between and some sofa.,[]
The lute which Henry plays and sings madrigals is warped.,[]
The nurse who polished her trombone and the plumber computed my tax was a blond.,[]
Which trombone did the nurse polish and?,[]
The plumber who the nurse polished her trombone and computed my tax was a hefty fellow.,[]
Whose tax did the nurse polish her trombone and the plumber compute?,[]
The tall nurse who Tony has a Fiat and yearns for is cruel to him.,[]
The shirts which I went to the movies and didn't pick up will cost us a lot of money.,[]
The excellent whisky which I went to the store and have bought was very costly.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake. ‘whisky’ is British English.', 'suggestions': ['whiskey']}]"
Tony has a Fiat to yearn for a tall nurse.,[]
I went to the movies not to pick the shirts up.,[]
I went to the movies to not pick the shirts up.,[]
I went to the store to have bought some whisky.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake. ‘whisky’ is British English.', 'suggestions': ['whiskey']}]"
Which boy works in a skyscraper and the girl in a quonset hut?,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake found.', 'suggestions': ['Quonset', 'onset', 'sunset', 'quintet', 'unset']}]"
The skyscraper which the boy works in and the girl in a quonset hut belongs to Uncle Sam.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake found.', 'suggestions': ['Quonset', 'onset', 'sunset', 'quintet', 'unset']}]"
The girl who the by works in a skyscraper and in a quonset but has a dimple on her nose.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake found.', 'suggestions': ['Quonset', 'onset', 'sunset', 'quintet', 'unset']}]"
Which quonset hut does the boy work in a skyscraper and the girl in?,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake found.', 'suggestions': ['Quonset', 'onset', 'sunset', 'quintet', 'unset']}]"
The luscious chick who Billy and went to the movies will wed me ere the morn.,[]
The Ferrari which Pietro bought from me and Sofia adores him cost him a bundle.,[]
"Tom picked, and I washed some turnips, and Suzie will prepare, these grapes.",[]
"Although Bob may not be a nut, many people have claimed and I think so too.","[{'ruleId': 'COMMA_COMPOUND_SENTENCE', 'message': 'Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).', 'suggestions': [', and']}]"
Sally's sick and what did you bring me?,"[{'ruleId': 'COMMA_COMPOUND_SENTENCE_2', 'message': 'Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).', 'suggestions': [', and']}]"
Make yourself comfortable and I got sick.,[]
What are you eating or did you play chess?,[]
Which boy and the girl embraced?,[]
I'm hungry and did you play chess?,[]
I saw you there and who ate what?,[]
What exploded when and I warned you it would?,[]
"The dumplings which Sasha is gobbling down faster than I can reheat are extremely tasty, if I do say so.",[]
I think Anita may have poisoned the meatballs which Sasha is gobbling down dumplings faster than I can reheat.,[]
The deed which I want to peruse that contract before filing away is probably a forgery.,[]
Reports of which the government prescribes the height of the Lettering on the covers are invariably boring.,[]
Reports on the covers of which the government prescribes the height of the lettering almost always put me to sleep.,[]
Reports of the lettering on the covers of which the government prescribes the height are shocking waste of public funds.,[]
By which Greek authors does he have books?,[]
The boy who I watched Bill and was vain.,[]
The boy Bill and who I watched was vain.,[]
They will give me a hat that I won't like which I know.,[]
The boy whose guardian's we elected employer president betrayed us.,[]
The boy whose we elected guardian's guardian's employer president betrayed us.,[]
The boy's guardian's we elected employer president.,[]
The boy's we elected guardian's employer president.,"[{'ruleId': 'SPURIOUS_APOSTROPHE', 'message': 'The possessive apostrophe seems to be incorrect. Please remove the apostrophe if you want to use the plural form of ‘boy’.', 'suggestions': ['boys']}]"
We elected employer president the boy's guardian's.,[]
We elected guardian's employer president the boy.,[]
Which boy's guardian's did we elect employer president?,"[{'ruleId': 'APOSTROPHE_PLURAL_', 'message': 'Consider using the plural form here.', 'suggestions': ['guardians']}]"
How have you picked up TNT carelessly?,[]
How tall did Sheila marry a man?,[]
How did Sheila marry tall a man?,[]
Jack disappeared in a mysterious manner and Marion disappeared in one too.,[]
What time did you arrive at?,[]
The manner which Jack disappeared in was creepy.,[]
The place which I live at is the place where Route 150 crosses the Hudson River.,[]
The only relatives with whom I'd like to do away are my aunts.,[]
To whom is she trying to make up now?,[]
On that meeting I'd like to sit in.,[]
One plan of which I got wind was calculated to keep us in suspense.,[]
Did you notice of which difficulties she made light?,[]
Of whom are you trying to get hold?,[]
Light was made of her indiscretions.,[]
Hold has been gotten of some rare old manuscripts.,[]
The persons on whom we kept tabs all proved to be innocent.,[]
Faith was had in all kinds of people.,[]
Mike talked to about politics yesterday my friends.,[]
"She made light, not too surprisingly, of the difficulties we might have at the border.",[]
The University's students are intelligent and faculty is committed to freedom.,[]
The boy whose uncle and Tom's aunt's grandmother were kissing was furious.,[]
The teacher who that the principal would fire was expected by the reporters is a crusty old jerk.,[]
The hat which that I brought seemed strange to the nurse was a fedora.,[]
"That piano, the boy's playing which loudly drove everyone crazy, was badly out of tune.",[]
"That piano, which the boy's playing loudly drove everyone crazy, was badly out of tune.",[]
Did that he played the piano surprise you?,[]
Would for him to have played the piano have surprised you?,[]
Is whether he played the piano known?,[]
